repetition	sampled_tips	observed_trees	hidden_trees	p	infectious_time	infectious_time_min	infectious_time_max	incubation_period	incubation_period_min	incubation_period_max	R0	R0_min	R0_max	mu	mu_min	mu_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max
1	752	71	estimated	0.048	0.04	0.04	0.04	10.4	9.6	11.4	1.00	0.97	1.04	0.10	0.09	0.10	23.20	22.44	24.00	23.13	22.37	23.93
1	752	71	462	0.048	0.04	0.04	0.04	10.4	9.6	11.4	0.97	0.93	1.00	0.10	0.09	0.10	22.80	21.87	23.55	23.52	22.77	24.30
1	752	71	estimated	0.057	0.04	0.04	0.05	11.3	10.3	12.3	1.00	0.97	1.04	0.09	0.08	0.10	22.81	22.00	23.66	22.75	21.94	23.59
1	752	71	462	0.057	0.04	0.04	0.04	11.3	10.3	12.3	0.96	0.93	1.00	0.09	0.08	0.10	22.34	21.56	23.14	23.19	22.39	24.02
1	752	71	estimated	0.071	0.05	0.04	0.05	12.3	11.3	13.5	1.00	0.96	1.04	0.08	0.07	0.09	22.25	21.36	23.16	22.19	21.27	23.10
1	752	71	462	0.071	0.04	0.04	0.05	12.3	11.3	13.5	0.95	0.92	0.99	0.08	0.07	0.09	21.70	20.86	22.55	22.72	21.86	23.63
2	772	63	estimated	0.049	0.04	0.04	0.04	10.4	9.5	11.3	1.00	0.97	1.04	0.10	0.09	0.10	23.46	22.68	24.26	23.38	22.62	24.18
2	772	63	470	0.049	0.04	0.04	0.04	10.4	9.5	11.3	0.97	0.94	1.00	0.10	0.09	0.10	23.06	22.32	23.82	23.79	23.03	24.57
2	772	63	estimated	0.059	0.04	0.04	0.05	11.2	10.3	12.2	1.00	0.97	1.04	0.09	0.08	0.10	23.03	22.22	23.88	22.97	22.16	23.81
2	772	63	470	0.059	0.04	0.04	0.04	11.2	10.3	12.2	0.96	0.93	1.00	0.09	0.08	0.10	22.56	21.77	23.36	23.40	22.60	24.24
2	772	63	estimated	0.073	0.04	0.04	0.05	12.2	11.2	13.3	1.00	0.96	1.04	0.08	0.08	0.09	22.56	21.67	23.47	22.50	21.61	23.41
2	772	63	470	0.073	0.04	0.04	0.05	12.2	11.2	13.3	0.96	0.92	0.99	0.08	0.08	0.09	21.99	21.15	22.85	23.02	22.15	23.93
3	759	74	estimated	0.048	0.04	0.04	0.04	10.3	9.5	11.3	1.00	0.97	1.04	0.10	0.09	0.11	23.07	22.32	23.86	23.01	22.25	23.79
3	759	74	459	0.048	0.04	0.04	0.04	10.3	9.5	11.3	0.97	0.94	1.00	0.10	0.09	0.11	22.68	21.92	23.42	23.39	22.65	24.16
3	759	74	estimated	0.058	0.04	0.04	0.05	11.1	10.2	12.2	1.00	0.97	1.04	0.09	0.08	0.10	22.67	21.86	23.51	22.61	21.80	23.45
3	759	74	459	0.058	0.04	0.04	0.04	11.1	10.2	12.2	0.96	0.92	1.01	0.09	0.08	0.10	22.20	21.27	23.22	23.04	22.25	23.86
